name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"53.562762,9.573723",1/1/2023,15.6,9.9,13.4,15.6,8.2,13.4,7.1,66.4,0.301,100,12.5,rain,0,0,66.6,33.2,227.3,1010.3,95.8,39,15.2,1.2,1,,2023-01-01T08:38:18,2023-01-01T16:12:15,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/2/2023,13.1,6.2,10,13.1,2.9,8.6,8.3,89,3.137,100,70.83,rain,0,0,54.4,27.2,228.3,1013,89.4,31.9,5.1,0.5,0,,2023-01-02T08:38:07,2023-01-02T16:13:23,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00704,E9645,C7997,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/3/2023,6.6,2.4,5,4.6,-0.7,2.3,2.9,86.7,0.197,100,8.33,rain,0,0,36.4,16.9,212.6,1024.8,36.9,27.1,23.3,1.9,2,,2023-01-03T08:37:53,2023-01-03T16:14:34,0.38,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"00704,E9645,C9514,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/4/2023,11.6,6.6,9.3,11.6,2.5,7.6,7.5,88.3,14.754,100,79.17,rain,0,0,76,29.9,223.8,1010,95,21,4.7,0.4,0,,2023-01-04T08:37:35,2023-01-04T16:15:47,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"00704,C9514,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/5/2023,10.3,2.8,7.4,10.3,1.8,4.8,5.7,89.4,1.722,100,50,rain,0,0,72.4,33.6,278.3,1013.5,70,28.6,12.8,1.1,1,,2023-01-05T08:37:14,2023-01-05T16:17:04,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/6/2023,9.8,5.6,8.3,7.5,3.8,5.9,6.5,89,3.017,100,58.33,rain,0,0,61.2,25.6,212.8,1014.7,73.6,24.5,11.3,0.8,1,,2023-01-06T08:36:49,2023-01-06T16:18:23,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/7/2023,10.7,4.9,8.6,10.7,3.2,7,6.8,88.7,0.207,100,20.83,rain,0,0,39.2,20.6,175.7,1011.8,95.5,15.9,9.1,0.8,1,,2023-01-07T08:36:20,2023-01-07T16:19:45,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/8/2023,10.8,4.7,8.4,10.8,2,6.3,5.4,82,1.671,100,33.33,rain,0,0,37.8,18.2,181,1001.2,58.4,42.2,11.5,0.9,1,,2023-01-08T08:35:48,2023-01-08T16:21:09,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"00704,E9645,C9514,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/9/2023,6.9,4.4,6,5.7,1.8,4.1,5.1,93.6,4.519,100,50,rain,0,0,33.8,14.8,196.4,997.4,85.1,24.4,10.2,0.9,1,,2023-01-09T08:35:13,2023-01-09T16:22:36,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
"53.562762,9.573723",1/10/2023,7.1,4.8,5.9,4.2,1.1,2.9,4.1,87.9,2.204,100,37.5,rain,0,0,53.3,27.2,207.4,1012.1,75.7,21.8,9,0.7,0,,2023-01-10T08:34:34,2023-01-10T16:24:06,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"00704,E9645,04857,01981,00760,D0281,01975,04039"
